Country Name,Country Code,2017 GDP,2017 Population
Aruba,ABW,0,105264
Afghanistan,AFG,20815300220.0428,35530081
Angola,AGO,124209385825.22,29784193
Albania,ALB,13039352743.9616,2873457
Andorra,AND,3012914131.16971,76965
Arab World,ARB,2591047461124.41,414491886
United Arab Emirates,ARE,382575085091.899,9400145
Argentina,ARG,637590419269.324,44271041
Armenia,ARM,11536590635.8268,2930450
American Samoa,ASM,0,55641
Antigua and Barbuda,ATG,1532397555.55556,102012
Australia,AUS,1323421072479.07,24598933
Austria,AUT,416595666396.636,8809212
Azerbaijan,AZE,40747792237.9735,9862429
Burundi,BDI,3477502178.27657,10864245
Belgium,BEL,492681283049.248,11372068
Benin,BEN,9273558271.64744,11175692
Burkina Faso,BFA,12873114800.0165,19193382
Bangladesh,BGD,249723887765.42,164669751
Bulgaria,BGR,56831518294.4397,7075991
Bahrain,BHR,35307127659.5745,1492584
"Bahamas, The",BHS,12162100000,395361
Bosnia and Herzegovina,BIH,18168579578.1952,3507017
Belarus,BLR,54442374372.5094,9507875
Belize,BLZ,1838000000,374681
Bermuda,BMU,0,65441
Bolivia,BOL,37508642112.8799,11051600
Brazil,BRA,2055505502224.73,209288278
Barbados,BRB,4796845980.8226,285719
Brunei Darussalam,BRN,12128089001.5858,428697
Bhutan,BTN,2511852941.17647,807610
Botswana,BWA,17406530780.7155,2291661
Central African Republic,CAF,1949411659.20453,4659080
Canada,CAN,1653042795255.04,36708083
Central Europe and the Baltics,CEB,1450746635299.76,102727102
Switzerland,CHE,678887336848.252,8466017
Channel Islands,CHI,0,165314
Chile,CHL,277075944401.941,18054726
China,CHN,12237700479375,1386395000
Cote d'Ivoire,CIV,40388624117.1109,24294750
Cameroon,CMR,34798596482.4274,24053727
"Congo, Dem. Rep.",COD,37241300948.659,81339988
"Congo, Rep.",COG,8722553000.83526,5260750
Colombia,COL,309191382833.365,49065615
Comoros,COM,648920942.738052,813912
Cabo Verde,CPV,1753736711.67273,546388
Costa Rica,CRI,57057372468.0383,4905769
Caribbean small states,CSS,69331419650.596,7284294
Cuba,CUB,0,11484636
Curacao,CUW,0,161014
Cayman Islands,CYM,0,61559
Cyprus,CYP,21651791751.1832,1179551
Czech Republic,CZE,215725534372.371,10591323
Germany,DEU,3677439129776.6,82695000
Djibouti,DJI,1844674434.50371,956985
Dominica,DMA,562540740.740741,73925
Denmark,DNK,324871968807.469,5769603
Dominican Republic,DOM,75931656814.657,10766998
Algeria,DZA,170370810917.971,41318142
East Asia & Pacific (excluding high income),EAP,14742323722128.8,2068308373
Early-demographic dividend,EAR,11249356756765.5,3213426923
East Asia & Pacific,EAS,23999250748656.8,2314364990
Europe & Central Asia (excluding high income),ECA,3300500740186.92,415546194
Europe & Central Asia,ECS,21438519189821.4,915545801
Ecuador,ECU,103056619000,16624858
"Egypt, Arab Rep.",EGY,235369129337.711,97553151
Euro area,EMU,12589497164004.3,341465149
Eritrea,ERI,0,0
Spain,ESP,1311320015515.99,46572028
Estonia,EST,25921079612.3337,1315480
Ethiopia,ETH,80561496133.9172,104957438
European Union,EUU,17277697660475,512461290
Fragile and conflict affected situations,FCS,830726810714.623,511336623
Finland,FIN,251884887972.766,5511303
Fiji,FJI,5061202767.42948,905502
France,FRA,2582501307216.42,67118648
Faroe Islands,FRO,0,49290
"Micronesia, Fed. Sts.",FSM,336427532.88,105544
Gabon,GAB,14622880885.6842,2025137
United Kingdom,GBR,2622433959604.16,66022273
Georgia,GEO,15159281211.3967,3717100
Ghana,GHA,47330016342.5734,28833629
Gibraltar,GIB,0,34571
Guinea,GIN,10496056732.546,12717176
"Gambia, The",GMB,1014621519.85866,2100568
Guinea-Bissau,GNB,1346933490.23577,1861283
Equatorial Guinea,GNQ,12486753871.278,1267689
Greece,GRC,200288277129.038,10760421
Grenada,GRD,1118816679.40741,107825
Greenland,GRL,0,56171
Guatemala,GTM,75620095537.5005,16913503
Guam,GUM,0,164229
Guyana,GUY,3675631961.25908,777859
High income,HIC,51475414395949.6,1249066228
"Hong Kong SAR, China",HKG,341449340450.649,7391700
Honduras,HND,22978532896.7816,9265067
Heavily indebted poor countries (HIPC),HPC,728774036366.636,765112280
Croatia,HRV,54849180228.8716,4125700
Haiti,HTI,8408150517.97684,10981229
Hungary,HUN,139135029758.29,9781127
IBRD only,IBD,28648517074135.9,4743263932
IDA & IBRD total,IBT,30741796092143.4,6353204601
IDA total,IDA,2099617258914.78,1609940669
IDA blend,IDB,915342329873.435,533023458
Indonesia,IDN,1015539017536.5,263991379
IDA only,IDX,1186015013019.41,1076917211
Isle of Man,IMN,0,84287
India,IND,2597491162897.67,1339180127
Not classified,INX,0,0
Ireland,IRL,333730764773.18,4813608
"Iran, Islamic Rep.",IRN,439513511620.591,81162788
Iraq,IRQ,197715736040.609,38274618
Iceland,ISL,23909289978.5861,341284
Israel,ISR,350850537827.281,8712400
Italy,ITA,1934797937411.33,60551416
Jamaica,JAM,14768134912.4171,2890299
Jordan,JOR,40068308516.2755,9702353
Japan,JPN,4872136945507.59,126785797
Kazakhstan,KAZ,159406926359.122,18037646
Kenya,KEN,74938190654.8558,49699862
Kyrgyz Republic,KGZ,7564738836.04122,6201500
Cambodia,KHM,22158209502.6391,16005373
Kiribati,KIR,196150061.312078,116398
St. Kitts and Nevis,KNA,945854481.481481,55345
"Korea, Rep.",KOR,1530750923148.7,51466201
Kuwait,KWT,120126277612.925,4136528
Latin America & Caribbean (excluding high income),LAC,4723050473503.12,568136842
Lao PDR,LAO,16853079615.3519,6858160
Lebanon,LBN,51844487742.0232,6082357
Liberia,LBR,2158000000,4731906
Libya,LBY,50984362478.4973,6374616
St. Lucia,LCA,1712306555.55556,178844
Latin America & Caribbean,LCN,5954671133086.38,644137666
Least developed countries: UN classification,LDC,1062642922681,1002485957
Low income,LIC,549653601217.708,732448558
Liechtenstein,LIE,0,37922
Sri Lanka,LKA,87174682200.4324,21444000
Lower middle income,LMC,6504155258937.75,2972642807
Low & middle income,LMY,29236806913808,6281293921
Lesotho,LSO,2639386291.42767,2233339
Late-demographic dividend,LTE,20452879964143.3,2278227192
Lithuania,LTU,47168303744.1329,2827721
Luxembourg,LUX,62404461274.6636,599449
Latvia,LVA,30264454641.8004,1940740
"Macao SAR, China",MAC,50361201096.4366,622567
St. Martin (French part),MAF,0,32125
Morocco,MAR,109139484007.429,35739580
Monaco,MCO,0,38695
Moldova,MDA,8128493432.07741,3549750
Madagascar,MDG,11499803806.5729,25570895
Maldives,MDV,4597083303.50693,436330
Middle East & North Africa,MEA,3265746599469.31,444322417
Mexico,MEX,1149918794765.73,129163276
Marshall Islands,MHL,199399247.08,53127
Middle income,MIC,28682698960994.9,5548845363
"Macedonia, FYR",MKD,11337827331.6809,2083160
Mali,MLI,15288163367.2602,18541980
Malta,MLT,12537750732.4769,465292
Myanmar,MMR,69322122755.8536,53370609
Middle East & North Africa (excluding high income),MNA,1431747940489.4,379901782
Montenegro,MNE,4774086094.2078,622471
Mongolia,MNG,11488046881.0431,3075647
Northern Mariana Islands,MNP,0,55144
Mozambique,MOZ,12333859926.277,29668834
Mauritania,MRT,5024705934.33687,4420184
Mauritius,MUS,13338147523.0124,1264613
Malawi,MWI,6303277590.80083,18622104
Malaysia,MYS,314500279043.81,31624264
North America,NAC,21049975179140.2,362492702
Namibia,NAM,13244597345.4319,2533794
New Caledonia,NCL,0,280460
Niger,NER,8119732792.52535,21477348
Nigeria,NGA,375770713742.763,190886311
Nicaragua,NIC,13814261535.5434,6217581
Netherlands,NLD,826200282501.127,17132854
Norway,NOR,398831956477.937,5282223
Nepal,NPL,24472013233.8472,29304998
Nauru,NRU,113884908.36413,13649
New Zealand,NZL,205852838254.712,4793900
OECD members,OED,49579240679862.2,1298037534
Oman,OMN,72642652795.8387,4636262
Other small states,OSS,402189384321.193,30621014
Pakistan,PAK,304951818494.066,197015955
Panama,PAN,61838175800,4098587
Peru,PER,211389272242.157,32165485
Philippines,PHL,313595208737.269,104918090
Palau,PLW,291544300,21729
Papua New Guinea,PNG,21088758484.7485,8251162
Poland,POL,524509565263.409,37975841
Pre-demographic dividend,PRE,1297071888211.81,904399841
Puerto Rico,PRI,0,3337177
"Korea, Dem. Peopleâ€™s Rep.",PRK,0,25490965
Portugal,PRT,217571083045.99,10293718
Paraguay,PRY,29734895248.9053,6811297
West Bank and Gaza,PSE,14498100000,4684777
Pacific island small states,PSS,9687357498.96905,2419188
Post-demographic dividend,PST,47087043342548.2,1107374909
French Polynesia,PYF,0,283007
Qatar,QAT,167605219780.22,2639211
Romania,ROU,211803281924.738,19586539
Russian Federation,RUS,1577524145963.17,144495044
Rwanda,RWA,9136689514.09479,12208407
South Asia,SAS,3291737801056.16,1788388852
Saudi Arabia,SAU,683827144288.536,32938213
Sudan,SDN,117487857142.857,40533330
Senegal,SEN,16374743753.4731,15850567
Singapore,SGP,323907234412.34,5612253
Solomon Islands,SLB,1303453616.11974,611343
Sierra Leone,SLE,3774270392.41231,7557212
El Salvador,SLV,24805439600,6377853
San Marino,SMR,1658778453.9103,33400
Somalia,SOM,7368560694.66414,14742523
Serbia,SRB,41431648801.1663,7022268
Sub-Saharan Africa (excluding high income),SSA,1647227850147.94,1061011878
South Sudan,SSD,0,12575714
Sub-Saharan Africa,SSF,1648713664105.39,1061107721
Small states,SST,481208161470.758,40324496
Sao Tome and Principe,STP,390871568.630082,204327
Suriname,SUR,3324385325.26677,563402
Slovak Republic,SVK,95769031980.1362,5439892
Slovenia,SVN,48769655479.2388,2066748
Sweden,SWE,538040458216.997,10067744
Swaziland,SWZ,4408564260.16111,1367254
Sint Maarten (Dutch part),SXM,0,41109
Seychelles,SYC,1485994387.49716,95843
Syrian Arab Republic,SYR,0,18269868
Turks and Caicos Islands,TCA,0,35446
Chad,TCD,9981303726.23281,14899994
East Asia & Pacific (IDA & IBRD countries),TEA,14713972097356.6,2042783496
Europe & Central Asia (IDA & IBRD countries),TEC,3879859485679.2,457647735
Togo,TGO,4812554346.14923,7797694
Thailand,THA,455220920571.129,69037513
Tajikistan,TJK,7145701018.7492,8921343
Turkmenistan,TKM,42355428571.4286,5758075
Latin America & the Caribbean (IDA & IBRD countries),TLA,5704712973686.92,628059792
Timor-Leste,TLS,2954620999.58441,1296311
Middle East & North Africa (IDA & IBRD countries),TMN,1417009559961.62,375217005
Tonga,TON,426057453.064917,108020
South Asia (IDA & IBRD),TSA,3291737801056.16,1788388852
Sub-Saharan Africa (IDA & IBRD countries),TSS,1648713664105.39,1061107721
Trinidad and Tobago,TTO,22104775828.46,1369125
Tunisia,TUN,40256675208.7294,11532127
Turkey,TUR,851102411118.116,80745020
Tuvalu,TUV,39731317.3044487,11192
Tanzania,TZA,52090320325.4736,57310019
Uganda,UGA,25891058946.1936,42862958
Ukraine,UKR,112154185121.406,44831159
Upper middle income,UMC,22168418709051.6,2576202556
Uruguay,URY,56156972157.6958,3456750
United States,USA,19390604000000,325719178
Uzbekistan,UZB,48717685984.0278,32387200
St. Vincent and the Grenadines,VCT,789629629.62963,109897
"Venezuela, RB",VEN,0,31977065
British Virgin Islands,VGB,0,31196
Virgin Islands (U.S.),VIR,0,107268
Vietnam,VNM,223863996354.655,95540800
Vanuatu,VUT,862879789.390161,276244
World,WLD,80683787437857.8,7530360149
Samoa,WSM,856626506.024096,196440
Kosovo,XKX,7128690556.68244,1830700
"Yemen, Rep.",YEM,0,28250420
South Africa,ZAF,349419343614.089,56717156
Zambia,ZMB,25808666421.5558,17094130
Zimbabwe,ZWE,17845821400,16529904
,,,